Category,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(g),Vit_A_(g)
MILLET,8.67,354,11.02,3.4,1.56,72.85,2.7,0.34,0.008,0.00281,0.106,0.266,0.062,0.005,0.00158,7.02E-04,9.52E-04,2.70E-06,0,3.90E-04,2.70E-04,0.00442,5.10E-04,3.60E-04,7.90E-05,0,7.90E-05,7.90E-05,0.01715,0,0,0,1.00E-06,0,0,3.50E-05,5.00E-05,0,9.00E-07,0.67,0.717,1.98,0,0
MISSION FOODS,33.6,287,8.7,6,2.1,49.6,0,0,0.191,0.00199,0,0,0,0.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695,2.771,0.924,0,0
MIXED NUTS,2.105,607,18.4,53.725,2.885,22.345,6.7,4.8,0.0965,0.003155,0.228,0.4435,0.6375,0.008,0.00393,0.0013995,0.0019885,9.30E-06,5.00E-04,2.50E-04,3.00E-04,0.00546,0.00114,3.24E-04,5.80E-05,0,5.80E-05,5.80E-05,0.0543,0,0,0,2.00E-06,0,0,1.90E-05,0.00782,0,1.20E-05,8.3605,32.266,11.1085,0,1.35E-06
MONKFISH,80.875,86.5,16.52,1.735,1.38,0,0,0,0.009,3.65E-04,0.024,0.228,0.4565,0.0205,4.70E-04,3.20E-05,2.75E-05,4.16E-05,0.001,2.70E-05,6.65E-05,0.002329,1.61E-04,2.59E-04,7.50E-06,0,7.50E-06,7.50E-06,0,9.70E-07,1.30E-05,0,0,0,0,0,0,0,0,0.34,0.24,0.61,0.0285,1.29E-05
MOOSE,70.395,129,23.34,3.195,1.355,1.715,0,0,0.006,0.005025,0.0215,0.297,0.276,0.0675,0.004435,0.001428,2.11E-04,0,0.0133,1.33E-04,0.00217,0.00786,0.00457,9.10E-04,2.17E-04,0,2.17E-04,0,0,7.10E-05,0,0,0,0,0,0,0,0,0,0.22,0.4,1.135,0.2215,0.0144
MORI-NU,89,55,6.9,1.9,0.6,2,0.1,0.99,0.032,8.20E-04,0.027,0.083,0.154,0.063,5.20E-04,2.00E-04,0,0,0,7.90E-05,3.40E-05,2.35E-04,0,1.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.345,1.061,0,0
MORNNGSTR FRMS BRKFST SNDWCH SCRMBL&CHS ENG MUFF,58.8,149,10.4,4.8,7.1,18.9,2.9,0.6,0.169,0.001,0,0.058,0.188,0.562,2.00E-04,0,0,0,0,1.10E-04,3.00E-04,0.0012,0,2.00E-05,5.00E-06,0,5.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.8,0.8,0.01,0
MORNNGSTR FRMS BRKFST SNDWCH SSGE EGG&CHS ENG MUFF,54.8,205,14.3,9.4,2.8,18.7,3.8,1.1,0.22,0.0025,0,0.306,0.212,0.639,6.00E-04,0,0,0,0,1.10E-04,1.00E-04,0.001,0,4.00E-05,8.00E-06,0,8.00E-06,0,0,1.00E-07,0,0,0,0,0,0,0,0,0,3.1,2.6,2.9,0.067,0
MORTADELLA,52.3,311,16.37,25.39,2.89,3.05,0,0,0.018,0.0014,0.011,0.097,0.163,1.246,0.0021,6.00E-05,3.00E-05,2.26E-05,0,1.19E-04,1.53E-04,0.002673,4.40E-04,1.30E-04,3.00E-06,0,3.00E-06,3.00E-06,0.0722,1.48E-06,0,0,0,0,0,0,2.20E-04,1.00E-06,1.60E-06,9.51,11.38,3.12,0.056,0
MOTHBEANS,69.23,117,7.81,0.55,1.45,20.96,0,0,0.003,0.00314,0.104,0.15,0.304,0.03,5.90E-04,1.64E-04,5.27E-04,2.80E-06,0.001,1.24E-04,2.30E-05,6.68E-04,3.91E-04,9.30E-05,1.43E-04,0,1.43E-04,1.43E-04,0,0,0,0,0,0,0,0,0,0,0,0.124,0.044,0.256,0,3.00E-06
MOUNTAIN YAM,77.14,82,1.73,0.08,1.06,19.99,2.5,0.31,0.008,4.30E-04,0.01,0.04,0.495,0.013,3.20E-04,1.29E-04,2.83E-04,9.00E-07,0,8.60E-05,1.40E-05,1.30E-04,4.80E-04,2.09E-04,1.20E-05,0,1.20E-05,1.20E-05,0,0,0,0,0,0,0,0,2.10E-04,0,1.40E-06,0.018,0.003,0.036,0,0
MOUSE NUTS,75.1,92.5,5.6,0.6,2.5,16.2,0,0,0.0195,0,0,0.1625,0,0,0,0,0,0,0.012,1.00E-05,9.00E-05,5.50E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUFFIN,39.94,255,4.23,4.22,1.56,50.05,4.2,27.05,0.035,0.002,0.01,0.125,0.096,0.413,0.00127,8.00E-05,7.85E-04,9.80E-06,9.00E-04,1.63E-04,1.75E-04,0.001375,2.51E-04,4.20E-05,4.80E-05,3.60E-05,1.20E-05,7.30E-05,0.0517,1.60E-07,1.00E-05,0,3.00E-06,1.00E-06,0,5.60E-05,3.90E-04,1.00E-07,5.70E-06,1.549,0.86,1.363,0.028,1.17E-05
MUFFINS,30.5,313,5.9,10.2,2.3,53,2.15,17.78,0.044,0.00227,0.017,0.192,0.121,0.467,5.40E-04,8.30E-05,3.55E-04,1.52E-05,0,2.62E-04,2.87E-04,0.002101,3.59E-04,5.60E-05,5.70E-05,4.55E-05,1.20E-05,8.90E-05,0.0517,3.00E-08,3.65E-05,0,2.50E-06,0,0,2.85E-05,9.45E-04,0,1.84E-05,1.681,2.596,5.351,0.013,4.23E-05
MULBERRIES,87.68,43,1.44,0.39,0.69,9.8,1.7,8.1,0.039,0.00185,0.018,0.038,0.194,0.01,1.20E-04,6.00E-05,0,6.00E-07,0.0364,2.90E-05,1.01E-04,6.20E-04,0,5.00E-05,6.00E-06,0,6.00E-06,6.00E-06,0.0123,0,0,1.20E-05,9.00E-06,0,0,1.36E-04,8.70E-04,0,7.80E-06,0.027,0.041,0.207,0,7.50E-06
MULLET,73.765,133.5,22.08,4.325,1.27,0,0,0,0.036,0.001215,0.031,0.2325,0.4075,0.068,7.00E-04,9.60E-05,1.90E-05,4.16E-05,0.0012,9.50E-05,9.00E-05,0.00575,8.20E-04,4.58E-04,9.50E-06,0,9.50E-06,9.50E-06,0.0702,2.35E-07,3.95E-05,0,0,0,0,0,0.001,1.50E-06,1.00E-07,1.2735,1.23,0.816,0.056,3.96E-05
MUNG BNS,84.3,50,4.3,0.21,0.79,10.59,1.9,2.84,0.013,0.0014,0.033,0.079,0.219,0.01,8.40E-04,1.56E-04,2.92E-04,6.00E-07,0.0114,1.40E-04,1.02E-04,8.17E-04,4.10E-04,6.70E-05,7.00E-05,0,7.00E-05,7.00E-05,0.0219,0,0,2.00E-06,1.00E-05,2.00E-06,0,0,1.25E-04,0,1.59E-05,0.046,0.054,0.068,0,7.20E-06
MUNGO BNS,72.51,105,7.54,0.55,1.06,18.34,6.4,2.01,0.053,0.00175,0.063,0.156,0.231,0.038,8.30E-04,1.39E-04,4.12E-04,2.50E-06,0.001,1.50E-04,7.50E-05,0.0015,4.33E-04,5.80E-05,9.40E-05,0,9.40E-05,9.40E-05,0.0296,0,0,0,1.90E-05,0,0,0,1.50E-04,0,2.70E-06,0.038,0.029,0.359,0,9.30E-06
MURRAY,2.75,468,5.65,19.75,0,70,3.35,22.15,0.379,0.0027,0.0155,0.07,0.093,0.377,4.00E-04,0,0,0,0,3.60E-04,2.30E-04,0.0027,0,2.50E-05,7.05E-05,0,4.70E-05,0,0,0,0,0,0,0,0,0,0,2.00E-07,0,6.5,4.35,6.95,0,0
MUSH,86.67,54,0.66,0.49,0.44,11.74,1.1,0.19,0.096,0.00292,0.02,0.039,0.058,0.008,7.60E-04,4.80E-05,3.05E-04,9.00E-07,0,2.00E-05,1.50E-05,2.83E-04,7.80E-05,4.90E-05,4.00E-06,0,4.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0.109,0.208,0,0
MUSHROOM,92.45,22,3.09,0.34,0.85,3.26,1,1.98,0.003,5.00E-04,0.009,0.086,0.318,0.005,5.20E-04,3.18E-04,4.70E-05,9.30E-06,0.0021,8.10E-05,4.02E-04,0.003607,0.001497,1.04E-04,1.70E-05,0,1.70E-05,1.70E-05,0.0173,0,0,0,0,0,0,0,1.00E-05,2.62E-05,0,0.05,0,0.16,0,0
MUSHROOMS,90.37,31,2.5,0.35,0.98,5.29,2.2,2.14,0.003,4.40E-04,0.013,0.108,0.364,0.009,7.50E-04,3.53E-04,1.13E-04,1.39E-05,0,7.30E-05,2.74E-04,0.004085,0.00136,1.10E-04,2.00E-05,0,2.00E-05,2.05E-05,0.0303,0,0,0,0,0,0,0,1.00E-05,4.50E-07,0,0.05,0.012,0.14,0,0
MUSSEL,70.865,129,17.85,3.36,2.385,5.54,0,0,0.0295,0.005335,0.0355,0.241,0.294,0.3275,0.002135,1.22E-04,0.0051,6.72E-05,0.0108,2.30E-04,3.15E-04,0.0023,7.25E-04,7.50E-05,5.90E-05,0,5.90E-05,5.90E-05,0.065,1.80E-05,6.95E-05,0,0,0,0,0,5.50E-04,0,1.00E-07,0.6375,0.7605,0.909,0.042,6.96E-05
MUSTARD,83.72,60,3.74,3.34,3.37,5.83,4,0.92,0.063,0.00161,0.048,0.108,0.152,1.104,6.40E-04,7.40E-05,4.22E-04,3.35E-05,3.00E-04,1.77E-04,7.00E-05,5.65E-04,2.54E-04,7.00E-05,7.00E-06,0,7.00E-06,7.00E-06,0.0224,0,0,1.00E-06,5.10E-05,2.70E-05,0,1.13E-04,3.60E-04,0,1.40E-06,0.214,2.182,0.774,0,3.27E-05
MUSTARD GREENS,90.7,27,2.86,0.42,1.36,4.67,3.2,1.32,0.115,0.00164,0.032,0.058,0.384,0.02,2.50E-04,1.65E-04,0,9.00E-07,0.07,8.00E-05,1.10E-04,8.00E-04,2.10E-04,1.80E-04,1.20E-05,0,1.20E-05,1.20E-05,5.00E-04,0,0,1.00E-05,0.00179,4.00E-05,0,0.00373,0.00201,0,2.57E-04,0.01,0.092,0.038,0,9.07E-04
MUSTARD GRNS,93.21,20,2.49,0.27,0.63,3.41,2.8,0.865,0.116,0.00112,0.013,0.03,0.162,0.029,2.00E-04,6.70E-05,2.94E-04,6.00E-07,0.0253,4.10E-05,6.10E-05,3.14E-04,1.90E-05,1.08E-04,7.00E-05,0,7.00E-05,7.00E-05,3.00E-04,0,0,4.50E-06,0.005273,1.75E-05,0,0.008286,0.001565,0,4.64E-04,0.013,0.113,0.047,0,0.0021228
MUSTARD SPINACH,94.5,16,1.7,0.2,0.8,2.8,2,0,0.158,8.00E-04,0.007,0.018,0.285,0.021,1.10E-04,5.00E-05,2.70E-04,6.00E-07,0.065,4.10E-05,6.20E-05,4.30E-04,1.19E-04,9.70E-05,7.30E-05,0,7.30E-05,7.30E-05,0,0,0,0,0,0,0,0,0,0,0,0.015,0.138,0.057,0,0.00246
MUTTON,54,234,33.43,11.09,1.41,0.08,0,0,0.01,0.00476,0.031,0.272,0.409,0.135,0.00593,6.20E-05,3.30E-05,3.80E-05,0,6.00E-05,3.00E-04,0.00652,8.97E-04,3.77E-04,0,0,0,0,0.1006,4.44E-06,0,0,0,0,0,0,8.00E-04,0,0,5.142,4.459,0.814,0.109,0
NABISCO,3.36,450,5.995,15.75,2.35,72.24,2.75,29.5,0.0545,0.0043,0.0365,0.1525,0.148,0.5935,9.20E-04,1.46E-04,5.40E-04,3.15E-06,5.00E-05,1.75E-04,2.06E-04,0.0028125,5.70E-05,4.60E-05,3.80E-05,5.50E-05,1.70E-05,1.11E-04,0,4.50E-08,0,0,0,0,0,0,0.00349,0,5.00E-05,2.85,3.385,0.64,0,3.00E-07
NANCE,77.745,84,0.61,1.22,0.545,19.88,7.25,11.985,0.044,3.75E-04,0.018,0.0085,0.219,0.0055,7.50E-05,4.70E-05,2.10E-04,4.00E-07,0.05165,1.50E-05,1.90E-05,2.95E-04,1.80E-04,1.80E-05,8.00E-06,0,8.00E-06,8.00E-06,0,0,0,3.00E-06,4.00E-05,5.00E-06,0,5.69E-04,0.00125,0,1.19E-05,0,0,0,0,2.22E-05
NARANJILLA (LULO) PULP,93.05,25,0.44,0.22,0.39,5.9,1.1,3.74,0.008,3.50E-04,0.011,0.012,0.2,0.004,1.00E-04,2.80E-05,6.70E-05,4.00E-07,0.0032,4.50E-05,0,0.00145,2.20E-04,1.07E-04,3.00E-06,0,3.00E-06,3.00E-06,0,0,0,4.00E-06,3.33E-04,1.00E-05,0,2.99E-04,7.50E-04,0,1.46E-05,0,0,0,0,1.70E-04
NECTARINES,87.59,44,1.06,0.32,0.48,10.55,1.7,7.89,0.006,2.80E-04,0.009,0.026,0.201,0,1.70E-04,8.60E-05,5.40E-05,0,0.0054,3.40E-05,2.70E-05,0.001125,1.85E-04,2.50E-05,5.00E-06,0,5.00E-06,5.00E-06,0.0062,0,0,0,1.50E-04,9.80E-05,0,1.30E-04,7.70E-04,0,2.20E-06,0.025,0.088,0.113,0,9.96E-05
NEW ENGLAND BRAND SAUSAGE,66.77,161,17.27,7.58,3.55,4.83,0,0,0.007,9.40E-04,0.016,0.136,0.321,1.22,0.0027,1.00E-04,3.60E-05,1.92E-05,0,6.40E-04,2.48E-04,0.003478,6.80E-04,3.60E-04,7.00E-06,0,7.00E-06,7.00E-06,0,1.34E-06,0,0,0,0,0,0,0,0,0,2.56,3.64,0.72,0.049,0
NEW ZEALAND SPINACH,94.8,12,1.3,0.17,1.6,2.13,1.4,0.25,0.048,6.60E-04,0.032,0.022,0.102,0.13,3.10E-04,7.70E-05,5.26E-04,9.00E-07,0.016,3.00E-05,1.07E-04,3.90E-04,2.56E-04,2.37E-04,8.00E-06,0,8.00E-06,8.00E-06,0,0,0,0,0,0,0,0,0.00123,0,2.92E-04,0.027,0.005,0.071,0,0.0010866
NOODLES,13.42,336,5.06,2.07,0.62,51.9,2.1,0.4,0.02,0.00147,0.021,0.076,0.038,0.072,6.50E-04,9.80E-05,3.40E-04,2.39E-05,0,1.95E-04,1.12E-04,0.002077,2.63E-04,5.00E-05,2.90E-05,0,1.40E-05,2.90E-05,0.0257,9.00E-08,3.00E-06,0,1.00E-06,0,0,3.80E-05,2.70E-04,0,2.50E-07,0.419,0.581,0.552,0.029,6.30E-06
NOPALES,94.215,15.5,1.335,0.07,1.075,3.305,2.1,1.135,0.164,5.45E-04,0.0495,0.016,0.226,0.0205,2.30E-04,5.05E-05,4.33E-04,7.00E-07,0.0073,1.15E-05,4.05E-05,3.53E-04,1.59E-04,6.85E-05,3.00E-06,0,3.00E-06,3.00E-06,0.0072,0,0,4.75E-05,2.46E-04,0,0,0,0,0,5.20E-06,0.011,0.0125,0.0355,0,1.35E-04
NUTMEG,6.23,525,5.84,36.31,2.34,49.29,20.8,2.99,0.184,0.00304,0.183,0.213,0.35,0.016,0.00215,0.001027,0.0029,1.60E-06,0.003,3.46E-04,5.70E-05,0.001299,0,1.60E-04,7.60E-05,0,7.60E-05,7.60E-05,0.0088,0,0,0,2.80E-05,6.60E-05,0,0,0,0,0,25.94,3.22,0.35,0,3.06E-05
NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,79.74,88,4.4,3.08,0.9,11.88,2.2,2.64,0.11,0.00198,0.044,0.11,0.176,0.092,0.00165,2.20E-04,9.70E-05,7.70E-06,0.0264,1.65E-04,1.87E-04,0.002201,0.0011,2.20E-04,4.40E-05,4.40E-05,0,7.50E-05,0.0605,6.60E-07,1.65E-04,0,0,0,0,0,0.00146,1.10E-06,8.80E-06,0.232,2.318,0.395,0.002,1.65E-04
NUTS,2.855,607,17.93,54.56,2.82,21.05,7,4.38,0.1115,0.003325,0.251,0.456,0.6145,0.152,0.00339,0.001074,0.00204,1.10E-05,5.00E-04,3.57E-04,2.27E-04,0.002217,5.74E-04,3.52E-04,6.00E-05,0,6.00E-05,5.80E-05,0.052,0,0,0,3.00E-06,0,0,8.00E-06,0.00782,0,5.70E-06,7.083,27.618,13.52,0,9.00E-07
OAT BRAN,45.275,143,10.255,3.945,1.69,38.83,9,1.45,0.034,0.003145,0.1375,0.4265,0.329,0.0025,0.00182,2.35E-04,0.003297,2.65E-05,0,6.65E-04,1.27E-04,5.39E-04,8.56E-04,9.50E-05,2.90E-05,0,2.90E-05,2.90E-05,0.0322,0,0,0,0,0,0,1.80E-04,0.00101,0,3.20E-06,0.7455,1.3335,1.5525,0,0
OAT FLR,8.55,404,14.66,9.12,1.97,65.7,6.5,0.8,0.055,0.004,0.144,0.452,0.371,0.019,0.0032,4.37E-04,0.004019,3.40E-05,0,6.92E-04,1.25E-04,0.001474,2.01E-04,1.25E-04,3.20E-05,0,3.20E-05,3.20E-05,0.0299,0,0,0,0,0,0,1.80E-04,7.00E-04,0,3.20E-06,1.607,2.866,3.329,0,0
OCEAN PERCH,78.655,87.5,16.91,1.705,1.4,0,0,0,0.031,2.45E-04,0.025,0.274,0.2065,0.317,3.20E-04,2.35E-05,1.20E-05,3.16E-05,0,4.30E-05,5.25E-05,0.00111,3.01E-04,7.85E-05,9.50E-06,0,9.50E-06,9.50E-06,0.0718,1.61E-06,1.35E-05,0,0,0,0,0,8.35E-04,1.30E-06,1.00E-07,0.3015,0.525,0.336,0.0575,1.26E-05
OCTOPUS,70.375,123,22.365,1.56,2.4,3.3,0,0,0.0795,0.00742,0.045,0.2325,0.49,0.345,0.00252,5.87E-04,3.60E-05,6.72E-05,0.0065,4.35E-05,5.80E-05,0.00294,7.00E-04,5.04E-04,2.00E-05,0,2.00E-05,2.00E-05,0.073,2.80E-05,6.75E-05,0,0,0,0,0,0.0012,0,1.00E-07,0.34,0.243,0.358,0.072,6.75E-05
OHELOBERRIES,92.3,28,0.38,0.22,0.26,6.84,0,0,0.007,9.00E-05,0.006,0.01,0.038,0.001,0,0,0,0,0.006,1.70E-05,3.60E-05,2.70E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49E-04
OIL,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-04,0,0,0,0,0,0,0,0.00818,0,2.47E-05,15.0445,37.008,24.294,0,0
OKRA,91.12,29.5,1.78,0.225,0.725,6.41,2.35,2.635,0.077,5.20E-04,0.04,0.037,0.184,0.0065,4.90E-04,8.40E-05,8.16E-04,6.00E-07,0.01435,1.11E-04,7.80E-05,0.0007895,2.13E-04,1.15E-04,8.00E-05,0,8.00E-05,8.00E-05,0.0111,0,0,0,1.83E-04,0,0,4.05E-04,2.95E-04,0,4.39E-05,0.054,0.034,0.055,0,9.15E-05
OLIVE GARDEN,65.96,159,7.44,5.61,1.36,17.14,1.6,2.68,0.095,9.60E-04,0.022,0.129,0.184,0.269,7.50E-04,6.70E-05,1.80E-04,1.68E-05,7.00E-04,9.00E-05,1.63E-04,0.001753,4.60E-04,9.40E-05,3.00E-05,0,0,0,0.015,3.30E-07,3.35E-05,0,1.23E-04,0,0.001781,1.11E-04,7.90E-04,0,4.30E-06,2.113,1.428,0.645,0.023,7.77E-05
OLIVE LOAF,58.2,235,11.8,16.5,4.3,9.2,0,0,0.109,5.40E-04,0.019,0.127,0.297,0.964,0.00138,5.00E-05,3.50E-05,1.64E-05,0,2.95E-04,2.60E-04,0.001835,7.70E-04,2.30E-04,2.00E-06,0,2.00E-06,2.00E-06,0.0667,1.26E-06,6.00E-05,0,0,0,0,0,2.50E-04,1.10E-06,3.40E-06,5.85,7.87,1.93,0.038,6.00E-05
OLIVES,79.99,115,0.97,10.68,2.23,5.61,3.2,0,0.088,0.0033,0.004,0.003,0.009,0.735,2.20E-04,2.26E-04,2.00E-05,9.00E-07,9.00E-04,3.00E-06,0,3.70E-05,1.50E-05,1.20E-05,0,0,0,0,0.0103,0,0,0,2.31E-04,9.00E-06,0,5.10E-04,0.00165,0,1.40E-06,1.415,7.888,0.911,0,1.18E-04
ON THE BORDER,53.83,229,11.67,11.05,2.57,19.28,1.8,1.84,0.123,0.00152,0.03,0.188,0.176,0.646,0.00188,7.30E-05,3.50E-04,1.60E-05,1.50E-04,1.60E-04,2.20E-04,0.001985,3.90E-04,1.25E-04,4.00E-05,0,3.60E-05,0,0.0324,7.20E-07,0,0,5.30E-05,0,6.86E-04,5.80E-05,5.90E-04,0,7.20E-06,4.848,4.088,2.107,0.03,2.67E-05
ONION RINGS,48.795,267,3.645,14.2,1.2,32.16,2,5.1,0.0385,0.00109,0.0155,0.06,0.1565,0.308,3.90E-04,7.35E-05,3.24E-04,4.00E-06,0.0031,1.43E-04,9.75E-05,0.001021,2.67E-04,1.25E-04,4.05E-05,1.45E-05,2.60E-05,5.05E-05,0.0107,0,0,0,0,0,0,0,4.60E-04,0,3.41E-05,3.3355,4.369,5.1665,0,0
ONIONS,90.87,32,0.92,0.1,0.475,7.08,1.7,3.355,0.0225,3.15E-04,0.0095,0.0275,0.1375,0.0135,1.85E-04,4.45E-05,1.14E-04,5.00E-07,0.00515,3.65E-05,2.50E-05,1.45E-04,1.01E-04,9.05E-05,1.55E-05,0,1.55E-05,1.55E-05,0.0055,0,0,0,1.00E-06,0,0,4.00E-06,2.00E-05,0,4.00E-07,0.031,0.014,0.039,0,6.00E-07
OOPAH (TUNICATE),80.2,67,11.7,2.2,2.8,0,0,0,0.053,0.0207,0,0.103,0,0,0,0,0,0,0,0,1.00E-04,9.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORANGE JUC,87.22,47,0.68,0.12,0.71,11.27,0.3,8.31,0.14,1.30E-04,0.011,0.047,0.178,0.004,7.00E-05,4.20E-05,2.30E-05,1.00E-07,0.0336,4.60E-05,3.90E-05,2.80E-04,1.95E-04,7.60E-05,1.90E-05,0,1.90E-05,1.90E-05,0.0062,0,0,8.00E-06,1.30E-05,4.80E-05,0,8.30E-05,2.00E-04,0,1.00E-07,0.015,0.022,0.03,0,1.98E-05
ORANGE JUICE,88.3,45,0.7,0.2,0.4,10.4,0.2,8.4,0.011,2.00E-04,0.011,0.017,0.2,0.001,5.00E-05,4.40E-05,1.40E-05,1.00E-07,0.05,9.00E-05,3.00E-05,4.00E-04,1.90E-04,4.00E-05,3.00E-05,0,3.00E-05,3.00E-05,0.0062,0,0,6.00E-06,3.30E-05,1.69E-04,0,1.15E-04,4.00E-05,0,1.00E-07,0.024,0.036,0.04,0,6.00E-05
ORANGE PEEL,72.5,97,1.5,0.2,0.8,25,10.6,0,0.161,8.00E-04,0.022,0.021,0.212,0.003,2.50E-04,9.20E-05,0,1.00E-06,0.136,1.20E-04,9.00E-05,9.00E-04,4.90E-04,1.76E-04,3.00E-05,0,3.00E-05,3.00E-05,0,0,0,0,0,0,0,0,2.50E-04,0,0,0.024,0.036,0.04,0,1.26E-04
ORANGE-GRAPEFRUIT JUC,88.64,43,0.6,0.1,0.39,10.28,0.1,10.18,0.008,4.60E-04,0.01,0.014,0.158,0.003,7.00E-05,7.60E-05,1.70E-05,1.00E-07,0.0291,5.60E-05,3.00E-05,3.36E-04,1.40E-04,2.30E-05,1.40E-05,0,1.40E-05,1.40E-05,0.0062,0,0,4.00E-06,2.00E-05,9.80E-05,0,7.30E-05,1.40E-04,0,1.00E-07,0.011,0.017,0.019,0,3.57E-05
ORANGES,86.34,49,0.94,0.21,0.43,11.89,2.4,9.14,0.043,1.00E-04,0.01,0.017,0.179,0,8.00E-05,3.90E-05,2.45E-05,5.00E-07,0.0532,8.70E-05,4.00E-05,4.00E-04,2.50E-04,6.30E-05,3.00E-05,0,3.00E-05,3.00E-05,0.0084,0,0,1.10E-05,7.10E-05,1.16E-04,0,1.29E-04,1.80E-04,0,0,0.025,0.039,0.042,0,6.90E-05
ORIENTAL MIX,2.55,506,17.31,25.58,2.94,51.62,13.2,3,0.054,0.00244,0.118,0.262,0.328,0.413,0.00266,1.34E-04,0.001273,8.10E-06,3.00E-04,3.11E-04,1.41E-04,0.003081,4.75E-04,7.20E-05,3.80E-05,0,3.80E-05,3.80E-05,0.0181,0,0,0,0,0,0,0,0.0056,0,2.40E-06,3.785,9.86,10.643,0,0
OSCAR MAYER,53.21,322.5,13.875,28.9,3.375,2.525,0,1.3,0.011,0.00135,0.0175,0.1895,0.185,1.169,0.00222,2.15E-04,3.90E-05,1.15E-05,0,1.40E-04,1.85E-04,0.003735,6.70E-04,2.50E-04,6.00E-06,0,6.00E-06,6.00E-06,0,1.75E-06,0,0,0,0,0,0,0,9.50E-07,0,11.1225,14.8755,2.075,0.0655,0
OSTRICH,74.33,126,23.11,2.91,0.745,0,0,0,0.006,0.003485,0.023,0.2225,0.3225,0.0765,0.003935,1.42E-04,1.80E-05,3.65E-05,0,2.08E-04,2.92E-04,0.0050035,0.0012155,5.32E-04,8.00E-06,0,8.00E-06,8.00E-06,0.0657,5.27E-06,0,0,0,0,0,0,2.10E-04,1.00E-07,3.45E-06,1.085,1.1195,0.505,0.074,0
OWL,71.3,136,22.7,5,1,0,0,0,0.016,0.0048,0,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05E-04
OYSTER,82.06,79,8.77,2.47,1.5,5.45,0,0.62,0.056,0.00695,0.033,0.15,0.168,0.163,0.04515,0.002858,4.59E-04,6.37E-05,0.0047,1.05E-04,1.66E-04,0.00165,2.70E-04,6.10E-05,1.40E-05,0,1.40E-05,1.40E-05,0.091,1.62E-05,2.30E-05,0,0,0,0,0,8.50E-04,0,1.00E-06,0.683,0.358,0.82,0.055,2.64E-05
PACE,88.1,38,0,0,3.05,8.33,3.1,6.25,0,0,0,0,0.258,0.688,0,0,0,0,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88E-04
PAN DULCE,7.12,445,8.81,16.11,1.68,66.28,1.2,21.86,0.052,0.00252,0.022,0.297,0.094,0.445,8.20E-04,2.62E-04,5.72E-04,2.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANCAKES,38.57,254,7.6,3.825,2.6,50.325,2.5,7.305,0.2105,0.002425,0.025,0.342,0.183,0.569,6.70E-04,1.02E-04,3.95E-04,1.50E-05,1.00E-04,3.60E-04,2.86E-04,0.0030635,4.12E-04,9.80E-05,5.30E-05,2.80E-05,1.30E-05,6.60E-05,0.0182,1.80E-07,6.00E-06,0,1.00E-06,0,0,7.20E-05,3.90E-04,0,3.00E-06,0.4935,1.5065,1.0525,0.012,9.60E-06
PANCAKES PLN,48.37,233,5.23,6.83,1.82,37.75,1,8.32,0.078,0.00567,0.014,0.215,0.09,0.461,4.00E-04,7.20E-05,2.85E-04,1.08E-05,3.00E-04,7.00E-04,3.80E-04,0.006357,3.40E-04,5.20E-04,7.10E-05,5.70E-05,1.40E-05,1.10E-04,0.0146,2.80E-06,4.53E-04,0,1.00E-06,0,0,5.90E-05,6.20E-04,0,6.50E-06,1.162,1.554,3.831,0.018,4.53E-04
